,,,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic,unidic,unidic,unidic,unidic
,,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
unexpected segmentation,,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
prefix,unit length,compound unit,,,,,,,,,,,,
未,2,未進,21,0,1.0,0.0,21,0,1.0,0.0,21,0,1.0,0.0
未,3,未使用,98,0,1.0,0.0,98,0,1.0,0.0,98,0,1.0,0.0
未,3,未分離,5,0,1.0,0.0,5,0,1.0,0.0,5,0,1.0,0.0
未,3,未完了,8,0,1.0,0.0,8,0,1.0,0.0,8,0,1.0,0.0
未,3,未完全,1,0,1.0,0.0,1,0,1.0,0.0,1,0,1.0,0.0
未,3,未就学,10,0,1.0,0.0,10,0,1.0,0.0,9,1,0.9,0.1
未,3,未成年,315,1,0.9968354430379747,0.0031645569620253164,316,0,1.0,0.0,316,0,1.0,0.0
未,3,未曾有,170,0,1.0,0.0,170,0,1.0,0.0,170,0,1.0,0.0
未,3,未発表,111,0,1.0,0.0,111,0,1.0,0.0,111,0,1.0,0.0
未,3,未経験,110,0,1.0,0.0,110,0,1.0,0.0,110,0,1.0,0.0
未,3,未編集,2,0,1.0,0.0,2,0,1.0,0.0,2,0,1.0,0.0
無,2,無効,611,0,1.0,0.0,611,0,1.0,0.0,611,0,1.0,0.0
無,2,無念,331,0,1.0,0.0,331,0,1.0,0.0,331,0,1.0,0.0
無,2,無性,221,0,1.0,0.0,221,0,1.0,0.0,221,0,1.0,0.0
無,2,無数,522,0,1.0,0.0,522,0,1.0,0.0,522,0,1.0,0.0
無,2,無料,552,0,1.0,0.0,552,0,1.0,0.0,552,0,1.0,0.0
無,2,無理,524,0,1.0,0.0,524,0,1.0,0.0,524,0,1.0,0.0
無,2,無職,256,0,1.0,0.0,256,0,1.0,0.0,256,0,1.0,0.0
無,2,無視,404,0,1.0,0.0,404,0,1.0,0.0,404,0,1.0,0.0
無,2,無量,26,0,1.0,0.0,26,0,1.0,0.0,26,0,1.0,0.0
無,2,無駄,536,0,1.0,0.0,536,0,1.0,0.0,536,0,1.0,0.0
無,3,無意味,516,0,1.0,0.0,516,0,1.0,0.0,516,0,1.0,0.0
無,3,無教養,16,0,1.0,0.0,16,0,1.0,0.0,16,0,1.0,0.0
無,3,無条件,458,0,1.0,0.0,458,0,1.0,0.0,458,0,1.0,0.0
無,3,無気力,198,0,1.0,0.0,198,0,1.0,0.0,195,3,0.9848484848484849,0.015151515151515152
無,3,無計画,41,0,1.0,0.0,41,0,1.0,0.0,41,0,1.0,0.0
無,3,無試験,9,0,1.0,0.0,9,0,1.0,0.0,9,0,1.0,0.0
無,3,無関係,511,0,1.0,0.0,511,0,1.0,0.0,511,0,1.0,0.0
無,3,無関心,528,0,1.0,0.0,528,0,1.0,0.0,528,0,1.0,0.0
無,3,無防備,258,0,1.0,0.0,258,0,1.0,0.0,258,0,1.0,0.0
総,2,総会,780,0,1.0,0.0,780,0,1.0,0.0,780,0,1.0,0.0
総,2,総則,138,0,1.0,0.0,138,0,1.0,0.0,138,0,1.0,0.0
総,2,総勢,204,0,1.0,0.0,204,0,1.0,0.0,204,0,1.0,0.0
総,2,総合,355,0,1.0,0.0,355,0,1.0,0.0,355,0,1.0,0.0
総,2,総員,18,0,1.0,0.0,18,0,1.0,0.0,18,0,1.0,0.0
総,2,総括,160,0,1.0,0.0,160,0,1.0,0.0,160,0,1.0,0.0
総,2,総数,578,0,1.0,0.0,578,0,1.0,0.0,578,0,1.0,0.0
総,2,総称,409,0,1.0,0.0,409,0,1.0,0.0,409,0,1.0,0.0
総,2,総評,57,0,1.0,0.0,57,0,1.0,0.0,57,0,1.0,0.0
総,2,総額,587,0,1.0,0.0,587,0,1.0,0.0,587,0,1.0,0.0
総,3,総人口,222,0,1.0,0.0,222,0,1.0,0.0,222,0,1.0,0.0
総,3,総収入,44,0,1.0,0.0,44,0,1.0,0.0,44,0,1.0,0.0
総,3,総工費,38,0,1.0,0.0,38,0,1.0,0.0,38,0,1.0,0.0
総,3,総打数,1,0,1.0,0.0,1,0,1.0,0.0,1,0,1.0,0.0
総,3,総死亡,6,0,1.0,0.0,6,0,1.0,0.0,6,0,1.0,0.0
総,3,総生産,17,0,1.0,0.0,17,0,1.0,0.0,17,0,1.0,0.0
総,3,総輸入,65,0,1.0,0.0,65,0,1.0,0.0,65,0,1.0,0.0
総,3,総選挙,441,0,1.0,0.0,441,0,1.0,0.0,441,0,1.0,0.0
総,3,総領事,26,0,1.0,0.0,26,0,1.0,0.0,26,0,1.0,0.0
諸,2,諸仏,159,0,1.0,0.0,159,0,1.0,0.0,159,0,1.0,0.0
諸,2,諸元,39,0,1.0,0.0,39,0,1.0,0.0,39,0,1.0,0.0
諸,2,諸国,562,0,1.0,0.0,562,0,1.0,0.0,562,0,1.0,0.0
諸,2,諸家,20,0,1.0,0.0,20,0,1.0,0.0,20,0,1.0,0.0
諸,2,諸島,71,0,1.0,0.0,71,0,1.0,0.0,71,0,1.0,0.0
諸,2,諸州,18,0,1.0,0.0,18,0,1.0,0.0,18,0,1.0,0.0
諸,2,諸悪,41,0,1.0,0.0,41,0,1.0,0.0,41,0,1.0,0.0
諸,2,諸法,6,0,1.0,0.0,6,0,1.0,0.0,6,0,1.0,0.0
諸,2,諸点,131,0,1.0,0.0,131,0,1.0,0.0,131,0,1.0,0.0
諸,2,諸神,18,0,1.0,0.0,18,0,1.0,0.0,18,0,1.0,0.0
諸,3,諸事情,91,0,1.0,0.0,91,0,1.0,0.0,91,0,1.0,0.0
諸,3,諸制度,130,0,1.0,0.0,130,0,1.0,0.0,130,0,1.0,0.0
諸,3,諸問題,493,0,1.0,0.0,493,0,1.0,0.0,493,0,1.0,0.0
諸,3,諸官庁,10,0,1.0,0.0,10,0,1.0,0.0,3,7,0.3,0.7
諸,3,諸情勢,49,0,1.0,0.0,49,0,1.0,0.0,49,0,1.0,0.0
諸,3,諸施策,261,0,1.0,0.0,261,0,1.0,0.0,261,0,1.0,0.0
諸,3,諸欲求,1,0,1.0,0.0,1,0,1.0,0.0,1,0,1.0,0.0
諸,3,諸職人,2,0,1.0,0.0,2,0,1.0,0.0,2,0,1.0,0.0
諸,3,諸能力,16,0,1.0,0.0,16,0,1.0,0.0,16,0,1.0,0.0
諸,3,諸費用,74,6,0.925,0.075,80,0,1.0,0.0,49,31,0.6125,0.3875
非,2,非人,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0
非,2,非常,524,0,1.0,0.0,524,0,1.0,0.0,524,0,1.0,0.0
非,2,非情,170,0,1.0,0.0,170,0,1.0,0.0,170,0,1.0,0.0
非,2,非核,82,0,1.0,0.0,82,0,1.0,0.0,82,0,1.0,0.0
非,2,非極,5,0,1.0,0.0,5,0,1.0,0.0,5,0,1.0,0.0
非,2,非番,70,0,1.0,0.0,70,0,1.0,0.0,70,0,1.0,0.0
非,2,非礼,77,0,1.0,0.0,77,0,1.0,0.0,77,0,1.0,0.0
非,2,非行,694,0,1.0,0.0,694,0,1.0,0.0,694,0,1.0,0.0
非,2,非道,82,0,1.0,0.0,82,0,1.0,0.0,82,0,1.0,0.0
非,2,非難,534,0,1.0,0.0,534,0,1.0,0.0,534,0,1.0,0.0
非,3,非人間,6,0,1.0,0.0,6,0,1.0,0.0,6,0,1.0,0.0
非,3,非公式,181,0,1.0,0.0,181,0,1.0,0.0,181,0,1.0,0.0
非,3,非合法,72,0,1.0,0.0,72,0,1.0,0.0,72,0,1.0,0.0
非,3,非整数,1,0,1.0,0.0,1,0,1.0,0.0,1,0,1.0,0.0
非,3,非暴力,67,0,1.0,0.0,67,0,1.0,0.0,67,0,1.0,0.0
非,3,非科学,2,0,1.0,0.0,2,0,1.0,0.0,2,0,1.0,0.0
非,3,非論理,10,0,1.0,0.0,10,0,1.0,0.0,10,0,1.0,0.0
