,0
44,が５割増近くになって帰ってきています。オディワン・リー「貴様が私の相手？老師ではなく貴様が！？」レイ「やってみなきゃあ、わからないよっ
45,が、凡人にわかるわけがない」「誰も読めなくても、五山の老師の方々が読解すれば、そちらが正しいことになるのですか」「左様」
46,老師もまだ臥んでおられないようです。気になって隠侍が起きて老師のお部屋をそっとのぞきました。見ると、老師はお袈裟をつけて、寄進され
47,状態にある最高レベル」の禅僧が、なぜ自殺するのか…。（片山正）この老師の自殺について肯定（理解）派、否定派、判断の回避派―など、仏教界をはじめ、さまざまな
48,自問。若者らしい悶々のある日、新京の妙心寺、点承会に参禅、ここで一人の老師に出合う。川野宗鑑という老禅師、藤沢保の悩みを聞き「どんな職業でも良い。
49,ておられたようです。あたたかい慰めの言葉をかけてくださるのかと思ったら、老師は開口一番、次のようにいわれたのです。「たいへんでしょうが、しかた
50,だった。帰国する２日前までレッスンを受けていた。そしてそのレッスンが終わったあと、老師と一緒に３人でご飯を食べに行った。実は前日、老師に『３人で
51,を回っていたけど、急遽３人でそのまま、彼女のマンションを管轄する派出所へ。老師はその場所がよく分からないというし、私はなんとなく場所を知ってい
52,自信があった。腕前からいっても、三本に二本は、必ずとっている。老師が自分に対する期待、世間の噂、そしてわざと親しい口こそきかないようにしている
53,質素を旨とされました。ある日、老師の信者の一婦人が、老師が高齢になられてもなお、ごつごつした木綿のふとんに臥んでおられる
54,しに行ったんだろう」「だからお前、逢えばよかったのに」或いはまだ老師のところにいるかも知れない。それにしても、勝った周造がどうして江戸へなど出る必要が
55,でしょうと、不敵に笑いおった」愛弟子のその決心を半ば自慢したいような、老師のあたたかい口ぶりであった。「では、江戸よりむしろ京都ですな」嚇と体中
56,お世話をする役の隠侍が、かの夫人の心づくしの、ふっくらとした寝具を老師の居間に敷いて引き下がりました。夜半になって隠侍はふと目ざめました
