,0
42,強さと巧みなボールさばきに期待がかかる。二千二年一月、二年半の交際を経て消防士の宏章さん（三十一）と結婚。Ｌリーグに加え、代表の合宿などが重なるサッカー中心の
43,思ったわたしだった。いまここでザドック爺さんに近づいて声をかけても、消防士二人に気づかれて、とがめられるのはわかりきったことなので、そうするわけにはいかなかった
44,挙げると、火事現場に駆けつけたのはいいけれど、興奮し、必死で消火活動をしている消防士に、「こっちに水をかけろ」と叫んでいたかと思うと、今度は
45,のために」仲間が埋まる瓦礫を素手で掘り返す、目を真っ赤にした消防士は吐き捨てた。仲間の一人だったガンチ・ニューヨーク市消防局長ピーター・ガンチは、ニューヨーク市消防局長で制服職員の
46,のスカイ・ロビーから光点がインディケーターを降りてきた。おれは深く息を吸いこんだ。消防士であってくれ、と祈らずにはいられなかった。エレベーターのドアが左右に
47,なかなか英雄が見つからないときは、基本に戻ること。燃えさかる建物から子供を救い出した消防士も英雄だし、他人を守るために危険をおかす警察官も英雄だ。歴史にも
48,に張りめぐらされた難コースを忍者のようにかいくぐり、タイム内にゴールできるかを競う。消防士、漁師、ガソリンスタンド店員…。出場者百人の職業はさまざま。プロスポーツ選手も顔負けの運動能力を持ち
49,。消防車が炎上している車のそばにとまるのを、ガブリエルは眺めた。ふたりの消防士が消防車から出てきて、すぐに消火作業を始めた。「保安官が来た
50,聞いた体験談などを基に作った「Ｔｈａｎｋｙｏｕｔｈｅｆｉｒｅｆｉｇｈｔｅｒｓ（消防士のみなさん、ありがとう）」。今年一月、劇団メンバーに歌唱指導を行っているＮＹ在住のミュージシャン
51,と一緒に写真を撮ったりする光景があちらこちらで見られました。将来は消防士になりたいという男の子は「（憧れの）消防車に乗れて楽しかった」と
52,ときの対処法を学ぶことができます。今回の講習会には十一組の親子が参加。消防士がこれまでの救急の具体例を取り上げ、対応の仕方を説明しました。参加者の
53,買ってくれるように頼んでいるけど、どうもうまくいっていないそうだった。お父さんは消防士だったが、自分は警察官になりたい、と教えてくれた。ずっと、宗教の
54,）との結婚を考えている。だが、のぞみの前夫が四年前に火災現場で殉職した消防士だったと知る＝写真＝。「離婚夫婦」。和彦（東幹久）と優子（
55,仲間を見失い、名前を呼びながら熱気漂う瓦礫を素手で取り除く、自らも傷ついた消防士。破れた防火服の切れ端を引きずりながら、呻き、号泣し、当てどもなく生存者を
56,。今年度は土木、建築の試験区分も実施します。区分・対象年齢行政事務、土木、建築、消防士は昭和六十二年四月二日から平成三年四月一日まで、保育士、臨床検査技師、学校栄養職は昭和五十七年
57,開成中学校３年）■■くんは将来人を助ける職業につきたいと思っていて、現在は消防士を志しています。テレビドラマで自分の危険を顧みない勇気ある消防士の姿を見
58,戻しながら、また不意に話を戻した。「でも、仕方ないんですよね。消防士も入国警備官も必要なんです。どれだけ矛盾した仕事であろうと、必要とする人たちが
59,も飛び出さないといけません。嫁のなり手などねえですよ」「でも、消防士って公務員でしょ。食いはぐれがなくていいですよね」「お母さん」益美が
60,「やつはどこにいる」「向こうだ」保安官は火元に水をかけている消防士のほうを指さした。「呼んだかい？」カルが彼らの後ろから
61,エレベーター百十五ドミノ百十六頭（髪「神」の毛がはえる）百十七万歩計百十八消防士百十九体温計百二十ワンピース百二十一やかん（夜間）百二十二カステラ百二十三カイト（蚊
62,わけが判らないと言った口調の小坂に、ぴしゃりと言い返した。「消防士は人を助けるために命を懸けて当たり前って思ってやがるんだよ、どいつもこいつ
63,でも特別暇な方が良いのは二つ。一つは警察、そして残る一つが消防士だ。両者とも、暇、イコール日本が平和で安全だということだからだ。考えてみ
64,、「医者が伝染病の患者から病気が移るからといって逃げられるか。消防士が大火事を見捨てて自分の家を守るために帰れるか。人間には仕事に伴う
65,れる。これが，社会場面で起きる問題解決の場面では基本中の基本となる。消防士の例で言えば，消防士に必要なのは，火事が続く要因に注目すること
66,で、近くにどんな装備があるかを調べるんだ。最後に避難していたのが消防士だったから、まわりにいるのは消防士たちだろう。階段を下りるあいだに見たところ、
67,気管内挿入を医者以外の人がするのは医師法によって不可能です。でも日本では今、消防士の人たちも運ぶまでの間に心臓マッサージや人工呼吸くらいしかできないので、欧米に比べ
68,備え、設備も揃えていなくてはならない。それに火災や災害が起こってからだけが消防士の仕事ではない。起こらないように警戒に回り、防災指導をするのも重要な仕事
69,棟で起こり、一時は屋根から火が吹き出すほどの勢いで、消防車など六十台、消防士、防空対策隊など四百四十人が出動する大火災だった。大戦勃発直後とあって大騒ぎになったようだ
70,てるので安全だと思っておりました。後で知りましたのですが、あれは消防士であってお医者様は全然乗っておらんわけですね。フランスとか西ドイツとかソビエトなど
71,のお知らせ●高度専門士の称号を取得（見込み）の方は、「高校卒程度」および「消防士（高校の部）」での受験はできません●受験資格等の詳細について
72,引きずりながら、呻き、号泣し、当てどもなく生存者を探しつづける、全身真っ白な粉塵を被った消防士。ひん曲がった巨大な鉄骨の隙間から、赤いマニキュアをした左手の白い手首
73,たが、二階部分は炎の中だった。梯子をかけ、二階にホースで放水する消防士の姿を絶望感と共に眺めた。圭一は兄の死を見届けるように焼ける
74,活躍した消防士にささげた歌を、米中枢同時テロの救助にあたったニューヨーク（ＮＹ）の消防士のためにも歌おうと、テロから一年の九月十一日、現地のミュージシャンらが披露する。
75,もかなり安くなるでしょうから、手術を希望する人はかなり増えるだろうと思います。消防士や警察官、自衛隊、パイロット、さらにトラックの運転手やタクシードライバーなど、近視が職業上の妨げ
76,いるが。職務を全うするという当たり前のことをしているだけなのに感謝される消防士に較べたら。なんとなく堂々と視線を送れずに、小坂を盗み見た。
77,ほかにも、なにかと役に立つレザーマン・ナイフと、キー・リングがあった。これは消防士に必要な道具だ。どの消防士も千六百二十キーを持っている。これは消防局から配布される
78,に復興してほしい」とコメント。また「ＮＹではメンバーと一緒に歌い、両都市の消防士に感謝の気持ちをささげたい」と話した。同劇団のミュージカル「ファイヤーマンの祈り
79,頭を振っていた。「催涙ガスを使ったのはあんただよ」そのとき消防士がやって来た。「こんなのが見つかりました」彼は黒焦げになった
80,するしかないのだ。そのために自腹を切ってベルトを買うようなまねは、消防士の給料ではとても無理だ。つまり―雀の涙程度の給料しかもらえない新入り消防士に
81,はみな、消火に人命救助、避難誘導などに夜を徹して奔走しました。過労によって消防士が亡くなったのも事実です。しかし、大規模災害においては、そうした公助
82,に来て、作業を拒否している。ビルの中の警官がやたらに発砲して、消防士まで射たれてるからだ」おれは下腹がずうんと冷たくなった。無事に
83,消防士という職種に興味を持っています。現在、大学生です。いろいろ調べてみて、仕事
84,、ということである。たとえば次の二つの事例を考えてみてほしい。一つは、消防士、警察官、軍人といった職への就労基準として最低限の身長・体重が定められている場合である。
