,0
0,調整します。３要約筆記者の決定／要約筆記者に事前資料を送付します。４要約筆記者決定の連絡／決まった筆記者の氏名、待ち合わせ時刻、場所を依頼者に連絡します。そのほか要約筆記者には守秘義務があり
1,などの確認をします。２要約筆記者の調整／日時、場所、内容などによって、派遣する筆記者を調整します。３要約筆記者の決定／要約筆記者に事前資料を送付します。４要約筆記者決定の連絡／決まっ
2,、アウトプットのほうがやさしい。わたしはつぎつぎと文章の糸をつむぎだすことはできる。筆記者の手をかりて、それを文字に定着することはできる。ところがインプットのほうは
