,0
37,でまっすぐだからだと思う。著者は映画『ほんとうのジャクリーヌ・デュプレ』などを手がけた脚本家で、この作品も映画化され、この秋に日本公開の予定。文／岡田貴久子（児童文学作家
38,が面白いと思う基準は似てるじゃないですか。なぜ何億円も使ってプロの脚本家と監督がいてこんな映画？って思うことが多いんでしょう？馬鹿なんでしょうか？
39,長谷川町子先生はお亡くなりになっていらっしゃるのに、、よく続いてるので不思議に思ってます。脚本家が何人かいらして、その方たちが作っています。。。。。。。
40,の妻』（三十八年）でルビッチに気に入られて以来、彼のもとで脚本家として働くようになっていたのだ。そして彼はそこで、ルビッチからその軽妙洒脱
41,オスカーを二度、受賞したことになる。マッカーシズムの時代に、実名で仕事ができなかった脚本家は、こうして変名や偽名を使っていたのである。チャールズ・チャップリンの場合チャールズ・チャップリンは
42,夏ツバキ大樹もありぬ亡き母の面影ひめしやさし木肌よ（夏ツバキ＝ヒメシャラ）脚本家の倉本聰さんが、こんなことを語っています。「今の若者たちは常に、
43,から、もう振り返らない。前に進むだけ。走り続けないと。☆サンドゥの脚本家の方がかつて「Ｒａｉｎはエネルギッシュで休まない」っておっしゃってましたが、★
44,なれない」という法則を特に重要視しているだけに、小説などの文筆業から、また、脚本家としての成功を経て監督へのキップを手に入れることも少なくない。
45,。「わたしの思い違いだろう。はじめまして、ジェマ。あなたのご主人は天才だ。脚本家としてばかりでなく、演出家としてもね。彼、映画の監督をしにハリウッドまで来
46,ひと月で棍棒になる〉。妻がいなくなり、初めて知るわけです。向田さんは脚本家だから小説もすごく映像的。同時に時間の経過まで表現している。こうして、
47,た。「え…？直さなくてもいいんですか？」主演女優から別の脚本家の指名があり、直哉にこの仕事を降りてほしいというのだ。いまさら、そんな…。
48,の前に座っている父親の背中ばかり見ていた。沖縄では小説家、沖縄芝居の脚本家として知られていたようだが、本土では小説は全く売れず、極度の
49,野沢尚さん享年四十四衝撃首吊り死“眠れぬ日々”６月二十八日午後２時半、人気作家で脚本家の野沢尚氏が東京・目黒区にある事務所マンションの窓の鍵の部分にロープをくくりつけて首を
50,Ｉｎｔｅｒｖｉｅｗｔｏｔｈｅａｕｔｈｏｒｉｔｙｏｆａｍｙｓｔｅｒｉｏｕｓｇｅｎｒｅ怪を語る人高橋洋脚本家たかはしひろし人が怖がる怪奇を模索する脚本家の思考力ホラーとは虚実、どちらが怖いの
51,見えないか。ドン小西ゲストうちだて・まきこ（脚本家）千九百四十八年秋田県生まれ。武蔵野美術大学卒業。三菱重工業勤務を経て脚本家に。ＮＨＫ連続テレビ小説「ひらり」「私の青空」「私の青空二千二」、大河ドラマ「
52,た。（川熊博行）はなし抄自然と経済が両立できるよう、知恵を絞る必要がある脚本家倉本聰さん（十六日、後志管内ニセコ町での観光フォーラムから）私は東京を捨て
