,0
0,の採取場ごとに、原油の採取場の位置その他政令で定める事項を書面で当該原油の採取場（第七条第一項ただし書の承認を受けている場合にあつては、その承認を受けた場所
1,第十一条原油、ガス状炭化水素又は石炭の採取者が輸出する目的で原油、ガス状炭化水素又は石炭をその採取場から移出する場合には、当該移出に係る石油石炭税を免除する。２前項の規定は、
2,控除する。２原油、ガス状炭化水素又は石炭の採取者が他の原油、ガス状炭化水素又は石炭の採取場から移出され、又は保税地域から引き取られた原油、ガス状炭化水素又は石炭を原油、ガス状炭化水素又は
3,を含む。）は、平成三年四月一日から平成四年三月三十一日までの間にその採取場（同法第五条第五項又は第十条第六項の規定により原油又はガス状炭化水素の採取場とみなされる場所を
4,を適用する。７前項の規定は、法人が合併により原油、ガス状炭化水素又は石炭の採取場における原油、ガス状炭化水素又は石炭の採取業を承継した場合について準用する。この場合において、同項中
5,溜った仕事をどっさりといい付けた。それには予定以上に必要となった石の採取場を捜す問題から工事に木を伐ったために薪が足りなくなったという塩釜屋から
6,、「、石油ガスの充てん場」を「石油ガスの充てん場とし、原油については原油の採取場とする」に、「引取」を「引取り」に、「但し」を「ただし
7,）第一条この法律は、公布の日から施行し、昭和五十三年六月一日以後に原油の採取場から移出される原油及び保税地域から引き取られる原油等に対する石油税について適用する。（採取の開廃等の
8,控除を受けるべき場合を除く。）において、当該原油、ガス状炭化水素又は石炭をその移入した採取場から更に移出したときは、政令で定めるところにより、その者が当該移出の日の
9,に戻し入れた場合には、当該原油、ガス状炭化水素又は石炭の戻入れのためにする他の採取場からの移出につき第十条第一項の適用があつた場合を除き、政令で定めるところ
10,の特例）第十条の三政令で定める手続により所轄税務署長の承認を受けて原油の採取場から移出する石油税法に規定する原油で次に掲げるものについては、政令で定める手続により、
11,てきていた。昭和五十八年２月７日付けで第４回目の申請認可があり，処分庁としては従前の採取場と同一場所でもあり，同申請を認可すべきものと判断していたが，手続上現場を調査確認する
12,、石油ガスの充てん場とする」を「石油ガスの充てん場とし、石油税については原油の採取場とする」に改める。第四十六条第一項各号列記以外の部分中「国税局長又は税務署長」を「税務署長（
13,これを原油、ガス状炭化水素又は石炭の採取者とみなし、当該場所が原油、ガス状炭化水素又は石炭の採取場でないときは、これを原油、ガス状炭化水素又は石炭の採取場とみなす。７第一項の
14,採取したものとみなされる委託の内容その他政令で定める事項を書面で当該原油の採取場（当該委託をする者が第七条第一項ただし書の承認を受けている場合にあつては、その
15,（以下「施行日」という。）から一月以内に、原油の採取場ごとに、原油の採取場の位置その他政令で定める事項を書面で当該原油の採取場（第七条第一項ただし書の承認を
16,原油、ガス状炭化水素又は石炭の採取者が次の各号に掲げる原油、ガス状炭化水素又は石炭をその採取場から当該各号に掲げる場所へ移出する場合には、当該移出に係る石油石炭税を免除する。一
17,一しょにこれまでに何べんとなくここへやって来たことがある。ここいらはわらび根の採取場だった。生産の乏しい部落にとって、わらび粉を作ることは昔から大切な副業と
18,申告書に記載した同項第四号に掲げる石油石炭税額の合計額から当該原油、ガス状炭化水素又は石炭につき当該他の採取場からの移出により納付された、若しくは納付されるべき又は保税地域からの引取りにより納付され
19,までの間にその採取場（同法第五条第五項又は第十条第六項の規定により原油又はガス状炭化水素の採取場とみなされる場所を含む。附則第二条において同じ。）から移出した原油又はガス状炭化水素（
20,（戻入れの場合の石油石炭税の控除等）第十二条原油、ガス状炭化水素又は石炭の採取者がその採取場から移出した原油、ガス状炭化水素又は石炭を当該採取場に戻し入れた場合には、当該原油、ガス状炭化水素
21,れ、又は保税地域から引き取られた原油、ガス状炭化水素又は石炭を原油、ガス状炭化水素又は石炭の採取場に移入した場合（前項の規定による控除を受けるべき場合を除く。）において、
22,。６相続（包括遺贈を含む。以下同じ。）により原油、ガス状炭化水素又は石炭の採取場における原油、ガス状炭化水素又は石炭の採取業を承継した相続人（包括受遺者を含む。以下同じ。
23,とする金額に相当する金額を還付する。４原油、ガス状炭化水素又は石炭の採取者がその採取場から移出した原油、ガス状炭化水素又は石炭を、その採取を廃止した後（第五条第四項ただし書の
24,が原油、ガス状炭化水素又は石炭の採取場でないときは、これを原油、ガス状炭化水素又は石炭の採取場とみなす。７第一項の規定に該当する原油、ガス状炭化水素又は石炭を同項各号に掲げる場所
