,0
41,見つかったよ」タマ子が台所で朝食の仕度をしていると、智子がいきなり飛び込んで来た。「なんだって？」タマ子は、思わず包丁を落とし
42,ようにかまえ、上から伏せる。バックで逃げる習性があるテナガエビは自から網の奥へ飛び込む。柄は自分で取り付ける。直径十五ｃｍ。￥三百七十。問２０５細い水路や
43,☗５五金寄」と表わすこともあります。３図。先手は４五の桂を５三に飛び込もうとしています。☗５三桂成と成ってもいいのですが、この場合は成らずに使い
44,「―それでよいのですか、陛下」突然、静かな声が耳に飛び込んできて、彼女はハッと振り返る。中庭を囲む暗い回廊の隅に誰か
45,団栗みたいなもんだから、転がりすぎたんじゃ。正面から入りゃよかったが、横から飛び込んだもんだからな」「正面から入っとりゃ、木っ葉微塵よ」「そ、
46,傾向がある。女の友達は臆面もなく真実を究明して、渦の真ん中に飛び込む。それで私は気持ちが軽くなり、希望に満ちてくるのだ。ある程度まで、
47,向かう京阪電車で七つ目の千林駅をおりると、かなり大きなラーメン屋が、すぐ目の前に飛び込んでくる。いまから四十年前、ここにダイエーが一号店を開いた。千林は戦後
48,ものだった。蒼白になった顔面を、今度は興奮に赤らめながら、ピエール・クルパンが飛び込んだ。「もしかすると、この冊子が…」しっとシラノは鋭い摩擦音で
49,たから今さら説明する必要もないだろう。ただ、確実に言えるのは、遠慮せずに飛び込めば行けない道はない、ということ。ヒル・ディセント・コントロールをはじめとする電子デバイスが難所をも
50,入賞は無視されます。千円で四十個の玉がスタート・チャッカーに入賞しても、保留全灯時に飛び込む個数が十個であれば、千円あたりのデジタル回転数は三十回になってしまいます。これは実に
51,人々が大声をあげて泣きさわぐのが、いかにも不吉な感じです。夢中で中へ飛び込んでいくと、「ここ二、三日はすこしおよろしく見えたのに、急
52,九十九ほか二十四四十一長編１五十二のび太やドラえもんが、引き出しの中に開いている穴に飛び込むと、ちょうどタイムマシンの上におり立つ。それに乗って、洞窟のような時空間の
53,見ての通り、決して蛇魅より仕掛けた争いではありませぬ。燕子外さまが飛び込んで参られた」「一人でなにができる？」龍馬王は頷きながらも
54,にも行くようにすすめられました。その足で、家の近くの歯医者に飛び込みました。今日一日で自分の骸骨を２回も見ることになるとは＾＾；鼻
55,た惣三郎の地摺りが勢いを得て、「野郎、逃げるな！」と飛び込んできた駒造の下半身を撫で斬ると、振り下ろした虎徹直胤の刃をも一息に両断し
56,破壊し、フォークは窓を開けて濁った水の中に身を躍らせた。飛び込む瞬間に中年刑事のことが彼の頭に浮かんだが、今はとにかく諦めてもらうしかなかっ
57,閉め切っているせいで中は薄暗く、その上サウナみたいに蒸し暑かった。見慣れた茶の間が飛び込んで来る。見慣れた絨毯。見慣れた壁。見慣れた時計。見慣れたテレビ。そう
58,。ノックをしてドアを開けると、三人の男の顔が目の中に飛び込んできた。主任捜査官の久保田警部に、畠山、塚越の両警部補だった。畠山は顔
59,もんだな。この緊張感…忘れていたぜ）身体一つで危険の中に飛び込むときの、胸の沸き立つような心地よい興奮を久々に思い出していた。すべてを得る
60,から再現するのが音場再生ということになる。音源から何にも邪魔されることなく耳に飛び込む直接音と、何かに反射して、直接音とは異なる方向から耳に到達する反射音群
61,だった）。瞬時に、ロード・デイ・アンド・ロードのルイス・ローブ、トム・デイリー、そして、私は、タクシーに飛び込んで、空港へ飛ばした。飛行機に乗ると、ローブとトムは飲み物をオーダーし、
62,？大阪の人間です。えびす橋の欄干に透明なガードが出来たため、容易に飛び込むことが出来ません。死者まで出たので、大阪府が改修工事を決めたんです。今年、
63,。どうぞ、お乗りください」と誘う。信長は「構わぬ」と言って、池に飛び込み、底まで潜って、大蛇などいないことを確かめたんですが、信長が誘わ
64,魚群探知機とにらめっこをしていた。アミをおろし、イワシが巻かれると、海へ飛び込んで（朝といわず、夕方といわず）イワシをアミいけすに誘導する仕事を手伝っ
65,外にいた私たちは、死ぬほど驚いた。そして、ガムテープをはがし、室内へ飛び込んでみたら、彼女が火ダルマの状態になっていたのだよ！」彼は吐き捨てる
66,なって病院の指定業者になろうとする。指定業者にさえなれば、自動的に仕事が飛び込んでくる。だから実弾が飛び交うことになる。なるほど、私が書いたのと、ほぼ
67,強いと言われます。樹幹の直ぐ下に河があれば、ナマケモノは迷わず飛び込みます。彼らの胃袋は比率からいうと哺乳類中最大で、その胃袋を浮き袋にして
68,、たとえばとんでもない発明や開発が発表されたり誰も知らなかったような好条件が飛び込んできたりした場合や、反対に倒産しましたとか大きな損を出した
69,ものがズレてたからナリ。」「でも、矢野って人はデブだから、飛び込んでも、鬼さんの口に入らないで、地面に顔から激突しちゃったナリ。
70,「悪いね」と言いつつ、小田切は窓から部屋の中へ身軽にピョンと飛び込んで来た。「どうしたの？ここ二階よ、どうやって中
71,このカメラといっしょにいると、パノラマサイズに適した景観と構図が自然に眼に飛び込んでくるから、何とも不思議なような気がする。僕が被写体とし
72,店を訪ねるのが手っ取り早いが、勘で探す事にする。勘をたよりに飛び込んだのは「ほずみ亭」という店だ。つけだしに「はしりんどう」巻き貝の煮付けがで
73,はやはり内側から板が張られ、奥にはカーテンが下がっている。若い者が飛び込んで窓を破った。朝日が中に流れ込み、それで畳の上に散らばった
74,ドス黒く血に染まっていた。素足のまま部屋を飛び出した彼女は、管理人室に飛び込んだ。２検屍によると堂本の直接の死因は、仕事机の角に、頭部を
75,つもりだった。しかし、それは不可能になったんです。少佐は炎上している所長官舎に飛び込んで、焼死した。なぜそんなことをしたのか、それが疑問なんですが
76,、マイルド・アイがネコをつかまえると、いいました。「しっかりおさえとかなきゃ、また飛び込んでくるだけだよ。」（「およし。」と、ホミリーが息をころし
77,局長との中間の立場をいう。つまり、まだ昇進できる上のポストがあるということ飛び込みアポをとらず、突然訪ねていって営業すること荷長〈にちょう〉会社でお荷物
78,」というものがあり，これを伝って国際日本文化研究センター（日文研）のホームページ（ｈｔｔｐ：／／ｗｗｗ．ｎｉｃｈｉｂｕｎ．ａｃ．ｊｐ／）に飛び込んでみた。日文研は学術情報センターや国立歴史民俗博物館と同様に大学共同利用機関のひとつであり，日本文化に関する研究機関として
79,て、こんな映画を撮ってみたいと思っていたからだった。とにかく映画界に飛び込んでみよう。
80,ダナには腹立たしかった。もう一度シークに話しかけるくらいなら、煮えたぎった油の中に飛び込んだほうがましだ。でも、私がやらなければ、父親は破滅するのだ。
81,ていた私は見境いも何もあったもんでなくその群衆の海へ頭から飛び込んで力まかせにかきわけかきわけ、人々の怒号やら熱いシチューのとばっちりやらを頭に浴びながら
82,の星音紗代ちゃんと園芸部の道具を買いに行った帰り路でのこと。そのとき視界に飛び込んできたのは、無数のバラ。彼女は、天に向かってホログラムのよう
